﻿sample_id,prefecture,municipality_name,layer,population_category,page_type,page_url,captured_at,http_status,final_url,page_title,lang_attr,cms_fingerprint,theme_vendor_hint,has_skip_link,has_header_brand,has_global_nav,global_nav_variant,has_search,search_variant,has_breadcrumb,has_local_nav,has_emergency_notice,emergency_variant,has_news_list,has_pickup,has_carousel,has_hub_cards,hub_cards_variant,has_footer_policies,has_accessibility_link,accessibility_url,has_contact_info,has_contact_form,contact_form_variant,has_article_meta,has_toc,has_attachments,attachments_variant,heading_outline_score,keyboard_nav_risk,contrast_risk_hint,notes,evidence_dom_snippets_path,screenshot_path
S0169,長野県,上田市,municipality,C,top,https://www.city.ueda.nagano.jp/,2026-02-16T10:00:00+09:00,200,https://www.city.ueda.nagano.jp/,上田市ホームページ,ja,tsutaeruMO,tsutaeruMO,true,true,true,horizontal_5cat,true,keyword+PageID+PDF,false,false,true,休日緊急医+防災情報,true,true,false,true,life_stage_icon_cards,true,true,,false,false,,false,false,false,,good,low,low,[nav] 5cat(生活防災+健康福祉子育て+観光文化+産業建設+市政); [search] keyword+PageID+PDFフィルタ; [emergency] 休日緊急医+防災バナー; [hub] ライフステージ別icon_cards; [a11y] やさしい日本語+ruby+font_size; LINE+YouTube+X(3SNS); tsutaeruMO; GA4,,
S0169,長野県,上田市,municipality,C,contact,https://www.city.ueda.nagano.jp/soshiki/,2026-02-16T10:00:00+09:00,200,https://www.city.ueda.nagano.jp/soshiki/,組織でさがす - 上田市ホームページ,ja,tsutaeruMO,tsutaeruMO,true,true,true,horizontal_5cat,true,keyword+PageID+PDF,true,false,false,,false,false,false,false,,true,true,,true,false,,false,false,false,,good,low,low,[contact] 組織でさがす; 部局別階層リスト; tel=0268-22-4100(代表); 50音検索対応,,
S0169,長野県,上田市,municipality,C,service,https://www.city.ueda.nagano.jp/soshiki/kosodate-k/102205.html,2026-02-16T10:00:00+09:00,200,https://www.city.ueda.nagano.jp/soshiki/kosodate-k/102205.html,児童手当 - 上田市ホームページ,ja,tsutaeruMO,tsutaeruMO,true,true,true,horizontal_5cat,true,keyword+PageID+PDF,true,true,false,,false,false,false,false,,true,true,,true,false,,true,false,true,pdf,good,low,low,[service] 児童手当; 子育て・子育ち支援課; PDF申請書7種; 印刷ボタン; accordion展開; 3地域事務所tel; 更新日=2025-07-01,,
S0169,長野県,上田市,municipality,C,hub,https://www.city.ueda.nagano.jp/life/,2026-02-16T10:00:00+09:00,200,https://www.city.ueda.nagano.jp/life/,分類でさがす - 上田市ホームページ,ja,tsutaeruMO,tsutaeruMO,true,true,true,horizontal_5cat,true,keyword+PageID+PDF,true,false,false,,false,false,false,true,life_stage_icon_cards,true,true,,false,false,,false,false,false,,good,low,low,[hub] 分類でさがす; 5大カテゴリ+ライフステージicon; テキストリスト型,,
S0169,長野県,上田市,municipality,C,article,https://www.city.ueda.nagano.jp/site/koho/,2026-02-16T10:00:00+09:00,200,https://www.city.ueda.nagano.jp/site/koho/,広報うえだ - 上田市ホームページ,ja,tsutaeruMO,tsutaeruMO,true,true,true,horizontal_5cat,true,keyword+PageID+PDF,true,true,false,,false,false,false,false,,true,true,,true,false,,true,false,true,pdf,good,low,low,[article] 広報うえだ; 月刊(毎月16日); PDF全ページ+分割DL; 年度別バックナンバー; マチイロ+マイ広報紙+NAGANO ebooks対応,,
S0170,長野県,飯田市,municipality,C,top,https://www.city.iida.lg.jp/,2026-02-16T10:00:00+09:00,200,https://www.city.iida.lg.jp/,飯田市ホームページ ホーム,ja,custom,custom,true,true,true,horizontal_5cat,true,keyword+PageID_GoogleCSE,false,false,true,防災情報+防災行政無線,true,true,false,true,special_site_cards_8,true,true,,false,false,,false,false,false,,good,low,low,[nav] 5cat(くらし+イベント+観光+事業者+市政); [search] keyword+PageID(Google CSE); [emergency] 防災情報+防災行政無線; [hub] 8特設サイトcards(子育て+移住+ゼロカーボン+リニア等); [a11y] ふりがな+font_size+色変更; LINE+YouTube+Facebook+Instagram+X(5SNS),,
S0170,長野県,飯田市,municipality,C,contact,https://www.city.iida.lg.jp/soshiki/,2026-02-16T10:00:00+09:00,200,https://www.city.iida.lg.jp/soshiki/,組織でさがす - 飯田市ホームページ,ja,custom,custom,true,true,true,horizontal_5cat,true,keyword+PageID_GoogleCSE,true,false,false,,false,false,false,false,,true,true,,true,false,,false,false,false,,good,low,low,[contact] 組織でさがす; 部局別(総務+企画+リニア推進+市民協働環境+福祉+こども未来健康+産業経済+建設+水道+病院+危機管理+教育+議会),,
S0170,長野県,飯田市,municipality,C,service,https://www.city.iida.lg.jp/soshiki/12/-jidoute.html,2026-02-16T10:00:00+09:00,200,https://www.city.iida.lg.jp/soshiki/12/-jidoute.html,児童手当 - 飯田市ホームページ,ja,custom,custom,true,true,true,horizontal_5cat,true,keyword+PageID_GoogleCSE,true,true,false,,false,false,false,false,,true,true,,true,false,,true,false,true,pdf+excel,good,low,low,[service] 児童手当; 保育家庭課; PDF+Excel申請書; 印刷ボタン; 更新日=2024-11-20; X+Facebook+Instagram+YouTube+LINE(footer SNS),,
S0170,長野県,飯田市,municipality,C,hub,https://www.city.iida.lg.jp/life/,2026-02-16T10:00:00+09:00,200,https://www.city.iida.lg.jp/life/,分類でさがす - 飯田市ホームページ,ja,custom,custom,true,true,true,horizontal_5cat,true,keyword+PageID_GoogleCSE,true,false,false,,false,false,false,false,,true,true,,false,false,,false,false,false,,good,low,low,[hub] 分類でさがす; 5大カテゴリ(くらし15sub+イベント+事業者+市政10sub+地区+地図); テキストリスト型; icon_cards不在,,
S0170,長野県,飯田市,municipality,C,article,https://www.city.iida.lg.jp/life/5/31/,2026-02-16T10:00:00+09:00,200,https://www.city.iida.lg.jp/life/5/31/,広報いいだ - 飯田市ホームページ,ja,custom,custom,true,true,true,horizontal_5cat,true,keyword+PageID_GoogleCSE,true,true,false,,true,false,false,false,,true,true,,true,false,,true,false,false,,good,low,low,[article] 広報いいだ; 年度別アーカイブ(2021-2026); 広報ブランド推進課; 最新号+バックナンバー構成,,
S0171,岐阜県,大垣市,municipality,C,top,https://www.city.ogaki.lg.jp/,2026-02-16T10:00:00+09:00,200,https://www.city.ogaki.lg.jp/,大垣市公式ホームページ 水の都おおがき,ja,custom,custom_ogaki,true,true,true,horizontal_6cat,true,keyword+PageID,false,false,true,森林火災予防+道路通行止+水道料金,true,true,false,true,icon_card_9,true,true,,false,false,,false,false,false,,good,low,low,[nav] 6cat(暮らし+子育て教育+健康福祉+観光文化+事業者+市政); [search] keyword+ページ番号; [emergency] 森林火災予防+道路通行止+水道料金改定; [hub] 9目的別icon_cards; [a11y] ReadSpeaker+ふりがな+やさしい日本語+font_size+色反転+6言語; AIチャットボット(public-edia); GA4+UA; 人口表示; SNS一覧ページあり,,
S0171,岐阜県,大垣市,municipality,C,contact,https://www.city.ogaki.lg.jp/soshiki/,2026-02-16T10:00:00+09:00,403,https://www.city.ogaki.lg.jp/soshiki/,,ja,custom,custom_ogaki,false,false,false,,false,,false,false,false,,false,false,false,false,,false,false,,false,false,,false,false,false,,unknown,unknown,unknown,[contact] /soshiki/ HTTP403 Forbidden; 個別部署ページ(/soshiki/19-1-0-0-0_6.html等)は正常; ディレクトリ一覧非公開,,
S0171,岐阜県,大垣市,municipality,C,service,https://www.city.ogaki.lg.jp/0000006989.html,2026-02-16T10:00:00+09:00,200,https://www.city.ogaki.lg.jp/0000006989.html,児童手当 | 大垣市公式ホームページ,ja,custom,custom_ogaki,true,true,true,horizontal_6cat,true,keyword+PageID,true,true,false,,false,false,false,false,,true,true,,true,false,,true,false,true,pdf,good,low,low,[service] 児童手当; 子育て支援課; ページ番号6989; PDF申請書5種; accordion展開; 制度改正比較表; tel=0584-47-7092; 更新日=2025-12-02,,
S0171,岐阜県,大垣市,municipality,C,hub,https://www.city.ogaki.lg.jp/category/2-0-0-0-0-0-0-0-0-0.html,2026-02-16T10:00:00+09:00,200,https://www.city.ogaki.lg.jp/category/2-0-0-0-0-0-0-0-0-0.html,暮らし・手続き | 大垣市公式ホームページ,ja,custom,custom_ogaki,true,true,true,horizontal_6cat,true,keyword+PageID,true,false,false,,false,false,false,true,category_list,true,true,,false,false,,false,false,false,,good,low,low,[hub] 暮らし・手続き; カテゴリID=2; サブカテゴリ一覧; テキストリスト型,,
S0171,岐阜県,大垣市,municipality,C,article,https://www.city.ogaki.lg.jp/0000058260.html,2026-02-16T10:00:00+09:00,200,https://www.city.ogaki.lg.jp/0000058260.html,広報おおがき | 大垣市公式ホームページ,ja,custom,custom_ogaki,true,true,true,horizontal_6cat,true,keyword+PageID,true,true,false,,true,false,false,false,,true,true,,true,false,,true,false,true,pdf,good,low,low,[article] 広報おおがき; 月2回(1日+15日)発行; タブロイド判; マチイロアプリ; PDF個別ページDL対応,,
S0172,岐阜県,各務原市,municipality,C,top,https://www.city.kakamigahara.lg.jp/,2026-02-16T10:00:00+09:00,200,https://www.city.kakamigahara.lg.jp/,各務原市総合トップページ｜各務原市公式ウェブサイト,ja,custom,custom_typekit,true,true,true,horizontal_3cat,false,,false,false,false,,false,false,true,false,,true,false,,false,false,,false,false,false,,fair,medium,medium,[nav] 3cat(くらし・市政+移住定住+観光); [carousel] Supersized(5slides:航空博物館+公園+桜+文化財+市景); [a11y] minimal(JS必須通知のみ); Typekit; GA4+UA; footer=最小構成(住所+tel+sitemap); 言語=日本語only,,
S0172,岐阜県,各務原市,municipality,C,contact,https://www.city.kakamigahara.lg.jp/about/1005270.html,2026-02-16T10:00:00+09:00,200,https://www.city.kakamigahara.lg.jp/about/1005270.html,市へのお問い合わせ｜各務原市公式ウェブサイト,ja,custom,custom_typekit,true,true,true,horizontal_3cat,false,,true,false,false,,false,false,false,false,,true,false,,true,true,web_form,false,false,false,,fair,medium,medium,[contact] 市へのお問い合わせ; tel=058-383-1111(代表); Webフォームあり; ページID=1005270,,
S0172,岐阜県,各務原市,municipality,C,service,https://www.city.kakamigahara.lg.jp/kodomo/teate/1002010/1002011.html,2026-02-16T10:00:00+09:00,200,https://www.city.kakamigahara.lg.jp/kodomo/teate/1002010/1002011.html,児童手当制度｜各務原市公式ウェブサイト,ja,custom,custom_typekit,true,true,true,horizontal_3cat,true,keyword+PageID,true,true,true,いざというときに,false,false,false,false,,true,true,,true,false,,true,false,true,pdf,good,low,low,[service] 児童手当制度; 社会福祉課; ページID=1002011; PDF認定請求書等7種; 印刷+大文字印刷ボタン; tel=058-383-7217; 電子申請(ぴったりサービス); emergency_sidebar=いざというときに(防災+火災+救急),,
S0172,岐阜県,各務原市,municipality,C,hub,https://www.city.kakamigahara.lg.jp/kodomo/index.html,2026-02-16T10:00:00+09:00,200,https://www.city.kakamigahara.lg.jp/kodomo/index.html,子育て・教育｜各務原市公式ウェブサイト,ja,custom,custom_typekit,true,true,true,horizontal_3cat,true,keyword+PageID,true,false,false,,false,false,false,true,category_list,true,true,,false,false,,false,false,false,,good,low,low,[hub] 子育て・教育; サブカテゴリ(保育+手当助成+学校+支援+医療等); テキストリスト型,,
