sample_id,prefecture,municipality_name,layer,population_category,page_type,url,fetch_timestamp,http_status,final_url,page_title,lang_attribute,cms_fingerprint,tech_vendor,has_skip_link,has_hamburger_menu,has_global_nav,global_nav_variant,has_search,search_variant,has_breadcrumb,has_local_nav,has_emergency_notice,emergency_variant,has_news_list,has_pager,has_card_layout,has_hero_carousel,hero_carousel_variant,has_footer_sitemap,has_accessibility_link,accessibility_url,has_color_inversion,has_custom_font_size,custom_font_size_variant,has_article_meta,has_toc,has_attachment_list,attachment_variant,hosting_clue,known_rewrite,contrast_risk_hint,notes,screenshot_path,screenshot_hash
S0212,大阪府,寝屋川市,municipality,C,top,https://www.city.neyagawa.osaka.jp/,2026-02-16T09:30:00+09:00,200,https://www.city.neyagawa.osaka.jp/,寝屋川市,ja,SMART CMS,SmartValue,true,true,true,7cat_horizontal,true,keyword,false,false,true,緊急情報セクション,true,false,true,true,carousel,true,true,,false,true,ReadSpeaker+ふりがな+font_size+背景色,false,false,false,,,,,SNS=FB+X+IG+YT+LINE+app; GTM(GTM-5W9QDP7),,
S0212,大阪府,寝屋川市,municipality,C,contact,https://www.city.neyagawa.osaka.jp/soshiki/,2026-02-16T09:30:00+09:00,200,https://www.city.neyagawa.osaka.jp/soshiki/,組織から探す,ja,SMART CMS,SmartValue,true,true,true,7cat_horizontal,true,keyword,true,false,false,,false,false,false,false,,true,true,,false,true,ReadSpeaker+ふりがな+font_size+背景色,false,false,false,,,,,組織一覧,,
S0212,大阪府,寝屋川市,municipality,C,service,https://www.city.neyagawa.osaka.jp/organization_list/kodomo/kodomowomamoruka/kodomotantou/jidouteate/1455857318397.html,2026-02-16T09:30:00+09:00,200,https://www.city.neyagawa.osaka.jp/organization_list/kodomo/kodomowomamoruka/kodomotantou/jidouteate/1455857318397.html,児童手当,ja,SMART CMS,SmartValue,true,true,true,7cat_horizontal,true,keyword,true,true,false,,false,false,false,false,,true,true,,false,true,ReadSpeaker+ふりがな+font_size+背景色,true,false,true,PDF,,,,児童手当制度案内,,
S0212,大阪府,寝屋川市,municipality,C,hub,https://www.city.neyagawa.osaka.jp/kurashi/,2026-02-16T09:30:00+09:00,200,https://www.city.neyagawa.osaka.jp/kurashi/,くらし,ja,SMART CMS,SmartValue,true,true,true,7cat_horizontal,true,keyword,true,false,false,,false,false,true,false,,true,true,,false,true,ReadSpeaker+ふりがな+font_size+背景色,false,false,false,,,,,くらしカテゴリ一覧,,
S0212,大阪府,寝屋川市,municipality,C,article,https://www.city.neyagawa.osaka.jp/shisei/koho/,2026-02-16T09:30:00+09:00,200,https://www.city.neyagawa.osaka.jp/shisei/koho/,広報ねやがわ,ja,SMART CMS,SmartValue,true,true,true,7cat_horizontal,true,keyword,true,true,false,,true,false,false,false,,true,true,,false,true,ReadSpeaker+ふりがな+font_size+背景色,true,false,true,PDF,,,,広報ねやがわバックナンバー,,
S0213,兵庫県,明石市,municipality,B,top,https://www.city.akashi.lg.jp/,2026-02-16T09:30:00+09:00,200,https://www.city.akashi.lg.jp/,明石市ホームページ,ja,,custom,true,true,true,8cat_horizontal,true,keyword,false,false,true,緊急情報,true,false,true,true,carousel,true,true,,false,true,font_size+背景色,false,false,false,,,,,skip→#tmp_honbun; SNS=X+FB+IG+LINE+YT,,
S0213,兵庫県,明石市,municipality,B,contact,https://www.city.akashi.lg.jp/soshiki/,2026-02-16T09:30:00+09:00,200,https://www.city.akashi.lg.jp/soshiki/,組織から探す,ja,,custom,true,true,true,8cat_horizontal,true,keyword,true,false,false,,false,false,false,false,,true,true,,false,true,font_size+背景色,false,false,false,,,,,組織一覧,,
S0213,兵庫県,明石市,municipality,B,service,https://www.city.akashi.lg.jp/kodomo/jidou_fu_ka/kodomo-kyoiku/kosodate/teate.html,2026-02-16T09:30:00+09:00,200,https://www.city.akashi.lg.jp/kodomo/jidou_fu_ka/kodomo-kyoiku/kosodate/teate.html,児童手当について,ja,,custom,true,true,true,8cat_horizontal,true,keyword,true,true,false,,false,false,false,false,,true,true,,false,true,font_size+背景色,true,false,true,PDF,,,,児童手当案内,,
S0213,兵庫県,明石市,municipality,B,hub,https://www.city.akashi.lg.jp/kurashi/,2026-02-16T09:30:00+09:00,200,https://www.city.akashi.lg.jp/kurashi/,くらし・手続き,ja,,custom,true,true,true,8cat_horizontal,true,keyword,true,false,false,,false,false,true,false,,true,true,,false,true,font_size+背景色,false,false,false,,,,,くらしカテゴリ,,
S0213,兵庫県,明石市,municipality,B,article,https://www.city.akashi.lg.jp/shisei/koho/,2026-02-16T09:30:00+09:00,200,https://www.city.akashi.lg.jp/shisei/koho/,広報あかし,ja,,custom,true,true,true,8cat_horizontal,true,keyword,true,true,false,,true,false,false,false,,true,true,,false,true,font_size+背景色,true,false,true,PDF,,,,広報あかしバックナンバー,,
S0214,兵庫県,加古川市,municipality,C,top,https://www.city.kakogawa.lg.jp/,2026-02-16T09:30:00+09:00,200,https://www.city.kakogawa.lg.jp/,加古川市,ja,SMART CMS,SmartValue,true,true,true,3cat_horizontal,true,keyword,false,false,true,Jアラート,true,false,true,true,carousel,true,true,,false,true,ReadSpeaker+ふりがな+font_size+背景色,false,false,false,,,,,GTM(GTM-N9MXW6F); 3cat(くらし・子育て・市政情報),,
S0214,兵庫県,加古川市,municipality,C,contact,https://www.city.kakogawa.lg.jp/soshiki/,2026-02-16T09:30:00+09:00,200,https://www.city.kakogawa.lg.jp/soshiki/,組織から探す,ja,SMART CMS,SmartValue,true,true,true,3cat_horizontal,true,keyword,true,false,false,,false,false,false,false,,true,true,,false,true,ReadSpeaker+ふりがな+font_size+背景色,false,false,false,,,,,組織一覧,,
S0214,兵庫県,加古川市,municipality,C,service,https://www.city.kakogawa.lg.jp/kosodatekyoiku/kosodatekyoiku/teateiryojosei/1418389844910.html,2026-02-16T09:30:00+09:00,200,https://www.city.kakogawa.lg.jp/kosodatekyoiku/kosodatekyoiku/teateiryojosei/1418389844910.html,児童手当,ja,SMART CMS,SmartValue,true,true,true,3cat_horizontal,true,keyword,true,true,false,,false,false,false,false,,true,true,,false,true,ReadSpeaker+ふりがな+font_size+背景色,true,false,true,PDF,,,,児童手当案内,,
S0214,兵庫県,加古川市,municipality,C,hub,https://www.city.kakogawa.lg.jp/kurashi/,2026-02-16T09:30:00+09:00,200,https://www.city.kakogawa.lg.jp/kurashi/,くらしのガイド,ja,SMART CMS,SmartValue,true,true,true,3cat_horizontal,true,keyword,true,false,false,,false,false,true,false,,true,true,,false,true,ReadSpeaker+ふりがな+font_size+背景色,false,false,false,,,,,くらしカテゴリ,,
