sample_id,prefecture,municipality_name,layer,population_category,page_type,page_url,captured_at,http_status,final_url,page_title,lang_attr,cms_fingerprint,theme_vendor_hint,has_skip_link,has_header_brand,has_global_nav,global_nav_variant,has_search,search_variant,has_breadcrumb,has_local_nav,has_emergency_notice,emergency_variant,has_news_list,has_pickup,has_carousel,has_hub_cards,hub_cards_variant,has_footer_policies,has_accessibility_link,accessibility_url,has_contact_info,has_contact_form,contact_form_variant,has_article_meta,has_toc,has_attachments,attachments_variant,heading_outline_score,keyboard_nav_risk,contrast_risk_hint,notes,evidence_dom_snippets_path,screenshot_path
S0001,北海道,北海道,prefecture,unknown,top,https://www.pref.hokkaido.lg.jp/,2026-02-14T18:15:00+09:00,200,https://www.pref.hokkaido.lg.jp/,北海道のホームページ,ja,custom,,true,true,true,dropdown,true,header,false,false,false,,true,true,true,true,icon,true,false,,true,false,,false,false,false,,fair,medium,medium,[skip_link] a href=#main text メインコンテンツへ移動; [header_brand] img+logo linking to /; [global_nav] ul>li>a カテゴリから探す 組織から探す 防災情報; [search] search icon with text 検索; [news_list] 新着情報 with date 2026年2月; [pickup] section ピックアップ heading; [carousel] KeyVisual_SwiperSlide; [hub_cards] icon-based category nav; [contact_info] tel:0112314111; [footer_policies] サイトポリシー 個人情報の取扱い,,
S0004,宮城県,宮城県,prefecture,unknown,top,https://www.pref.miyagi.jp/,2026-02-14T18:15:00+09:00,200,https://www.pref.miyagi.jp/,宮城県公式ホームページ Miyagi Prefectural Government,ja,Salesforce Sites,,true,true,true,dropdown,true,header,false,true,false,,true,true,true,true,icon,true,true,/moji.html,true,false,,false,false,false,,good,medium,low,[skip_link] #tmp_honbun; [header_brand] logo; [global_nav] tabbed interface; [search] tabbed search keyword/purpose/classification; [news_list] お知らせ press release; [pickup] 5 featured items; [carousel] 10-item image slides; [hub_cards] 10x2 grid icons; [local_nav] ReadSpeaker accessibility; [footer_policies] contact 022-211-2111; [accessibility] text-to-speech font-adjust,,
S0013,東京都,東京都,prefecture,unknown,top,https://www.metro.tokyo.lg.jp/,2026-02-14T18:15:00+09:00,200,https://www.metro.tokyo.lg.jp/,都庁総合ホームページ,ja,Liferay DXP,Liferay Clay UI,true,true,true,mega,true,header,false,true,false,,false,false,false,true,icon,true,false,,true,false,,false,false,false,,fair,medium,low,[skip_link] #main; [header_brand] .header__logo-link; [global_nav] sidebar collapsible; [emergency] .menu__emergency-list-item--banner striped; [search] .menu__search-select-wrapper dropdown; [hub_cards] .menu__mytokyo-channel-list 2-col grid; [local_nav] accordion details elements; [footer_policies] present; [accessibility] present,,
S0027,大阪府,大阪府,prefecture,unknown,top,https://www.pref.osaka.lg.jp/,2026-02-14T18:15:00+09:00,200,https://www.pref.osaka.lg.jp/,大阪府（おおさかふ）ホームページ,ja,custom,custom municipal template,true,true,true,dropdown,true,header,false,false,true,banner,true,true,true,true,image,true,true,/moji.html,true,false,,false,false,false,,fair,medium,low,[skip_link] #tmp_honbun; [emergency] disease alerts Attention section; [global_nav] categorical_tabs; [search] keyword+page_id; [news_list] present; [pickup] topic cards; [carousel] banner_mainvs dual-language; [hub_cards] image topic cards; [footer_policies] present; [accessibility] 閲覧補助機能; [contact_info] 06-6941-0351,,
S0047,沖縄県,沖縄県,prefecture,unknown,top,https://www.pref.okinawa.lg.jp/,2026-02-14T18:15:00+09:00,200,https://www.pref.okinawa.lg.jp/,沖縄県公式ホームページ,ja,custom,,true,true,true,mega,true,header,false,false,false,,true,true,true,true,icon,true,true,https://www.pref.okinawa.lg.jp/about/accessibility/index.html,true,false,,false,false,false,,poor,medium,low,[skip_link] #HONBUN; [header_brand] logo; [global_nav] くらし・環境 through 県政情報; [search] #search1 site_search #search2 page_id_search; [news_list] 新着情報; [pickup] ピックアップサイト carousel; [hub_cards] information_search grid; [footer_policies] 個人情報保護方針; [accessibility] ウェブアクセシビリティ方針; [contact_info] 〒900-8570 那覇市泉崎1-2-2,,
S0001,北海道,北海道,prefecture,unknown,contact,https://www.pref.hokkaido.lg.jp/site-info/contact.html,2026-02-14T18:16:00+09:00,200,https://www.pref.hokkaido.lg.jp/site-info/contact.html,お問合せ・相談窓口 - 北海道のホームページ,ja,custom,custom_with_readspeaker,true,true,true,dropdown,true,header,true,false,false,,false,false,false,true,text,true,false,,true,true,external,false,false,true,pdf,fair,low,low,[skip_link] present; [breadcrumb] trail present; [global_nav] dropdown menus; [search] header search; [hub_cards] section links; [contact_info] phone/fax/form; [contact_form] external form link; [attachments] PDF telephone directory; [footer_policies] present; [accessibility] ReadSpeaker,,
S0004,宮城県,宮城県,prefecture,unknown,contact,https://www.pref.miyagi.jp/site/gyoseisabisu/soudan-index.html,2026-02-14T18:16:00+09:00,200,https://www.pref.miyagi.jp/site/gyoseisabisu/soudan-index.html,相談窓口のごあんない - 宮城県公式ウェブサイト,ja,Salesforce Sites,,true,true,true,dropdown,true,header,true,true,false,,false,true,false,false,,true,true,/moji.html,true,false,,true,true,false,,good,low,low,[skip_link] present; [breadcrumb] present; [global_nav] multi-level; [search] site search; [local_nav] section nav; [pickup] MIYAGI+iRO cards; [hub_cards] promotional cards; [contact_info] hotlines directory; [article_meta] posting date 2025-10-31; [toc] section directory; [footer_policies] present; [accessibility] ReadSpeaker /moji.html,,
S0013,東京都,東京都,prefecture,unknown,contact,https://www.metro.tokyo.lg.jp/tosei/iken-sodan/otoiawase/otoiawase/index.html,2026-02-14T18:16:00+09:00,200,https://www.metro.tokyo.lg.jp/tosei/iken-sodan/otoiawase/otoiawase/index.html,お問い合わせ|都庁総合ホームページ,ja,Liferay DXP,MetroTokyo,true,true,true,mega,true,header,false,false,false,,false,false,false,false,,true,false,,true,true,simple,false,false,false,,fair,low,low,[skip_link] present; [global_nav] sidebar fixed; [emergency] banner evacuation info; [search] category filter; [contact_info] present; [contact_form] DDM form; [footer_policies] present; [accessibility] present,,
S0027,大阪府,大阪府,prefecture,unknown,contact,https://www.pref.osaka.lg.jp/o070050/fumin/occ/index.html,2026-02-14T18:16:00+09:00,200,https://www.pref.osaka.lg.jp/o070050/fumin/occ/index.html,府民お問合せセンター ピピっとライン／大阪府,ja,custom,,true,true,true,dropdown,true,header,true,true,false,,false,false,false,true,icon,true,true,/moji.html,true,true,simple,true,true,true,mixed,good,low,low,[skip_link] present; [breadcrumb] present; [global_nav] categorical submenus; [search] keyword+page_id; [local_nav] present; [hub_cards] contact method cards icons; [contact_info] 06-6910-8001; [contact_form] phone email FAX AI chatbot; [article_meta] present; [toc] section directory; [attachments] FAX forms; [footer_policies] present; [accessibility] /moji.html,,
S0047,沖縄県,沖縄県,prefecture,unknown,contact,https://www.pref.okinawa.lg.jp/kensei/kochokoho/1014932/1015136/index.html,2026-02-14T18:16:00+09:00,200,https://www.pref.okinawa.lg.jp/kensei/kochokoho/1014932/1015136/index.html,県民ご意見箱｜沖縄県公式ホームページ,ja,custom,,true,true,true,mega,true,header,true,true,false,,false,false,false,false,,true,true,https://www.pref.okinawa.lg.jp/about/accessibility/index.html,true,false,,true,true,false,,good,low,low,[skip_link] present; [breadcrumb] present; [global_nav] mega-menu; [search] site-search+ID lookup; [local_nav] section nav; [hub_cards] search-tiles; [contact_info] present; [article_meta] present; [toc] year-based answer links; [footer_policies] present; [accessibility] ウェブアクセシビリティ方針,,
S0001,北海道,北海道,prefecture,unknown,service,https://www.pref.hokkaido.lg.jp/sm/ktk/saigai-bousai.html,2026-02-14T18:17:00+09:00,200,https://www.pref.hokkaido.lg.jp/sm/ktk/saigai-bousai.html,北海道の災害・防災情報,ja,custom,,true,true,true,dropdown,true,header,true,false,true,banner,true,true,false,false,,true,false,,true,true,external,false,false,true,mixed,fair,low,low,[skip_link] present; [breadcrumb] HOME>総務部>危機対策局; [emergency] multiple weather alerts heavy snow blizzard Feb 2026; [news_list] active alerts; [pickup] portal links; [contact_info] 011-204-5007; [contact_form] inquiry form link; [attachments] weather forecast images; [accessibility] ReadSpeaker,,
S0004,宮城県,宮城県,prefecture,unknown,service,https://www.pref.miyagi.jp/life/sub/5/index.html,2026-02-14T18:17:00+09:00,200,https://www.pref.miyagi.jp/life/sub/5/index.html,申請・手続き - 宮城県公式ウェブサイト,ja,custom,,true,true,true,mega,true,header,true,true,false,,false,true,false,false,,true,false,,true,false,,false,true,false,,fair,low,low,[skip_link] present; [breadcrumb] present; [global_nav] mega_menu; [emergency] disaster/weather link; [local_nav] 9 domain categories; [pickup] present; [hub_cards] category_grid; [toc] section navigation; [footer_policies] present; [accessibility] text-to-speech font sizing,,
S0013,東京都,東京都,prefecture,unknown,service,https://fukushi.metro.tokyo.lg.jp/kodomo/kosodate/teate/zidouteate/,2026-02-14T18:17:00+09:00,0,,,,,,false,false,false,,false,,false,false,false,,false,false,false,false,,false,false,,false,false,,false,false,false,,,,,ECONNREFUSED - fukushi.metro.tokyo.lg.jp connection refused,,
S0027,大阪府,大阪府,prefecture,unknown,service,https://www.pref.osaka.lg.jp/kenkoufukushi/kosodate/teate/index.html,2026-02-14T18:18:00+09:00,200,https://www.pref.osaka.lg.jp/kenkoufukushi/kosodate/teate/index.html,子育てに係る手当／大阪府,ja,custom,,true,true,true,dropdown,true,header,true,true,false,,false,true,false,false,,true,true,/moji.html,true,false,,false,false,false,,good,low,low,[skip_link] present; [breadcrumb] present; [global_nav] hierarchical_dropdown; [search] keyword+pageid; [local_nav] present; [pickup] present; [footer_policies] present; [accessibility] /moji.html multilingual text-resize,,
