sample_id,municipality_code,prefecture,municipality_name,layer,population_category,region_block,official_site_url,top_page_url,contact_page_url,service_page_url,hub_page_url,article_page_url,selection_reason,notes
S0001,010006,北海道,北海道,prefecture,unknown,hokkaido,https://www.pref.hokkaido.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0002,020001,青森県,青森県,prefecture,unknown,tohoku,https://www.pref.aomori.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0003,030007,岩手県,岩手県,prefecture,unknown,tohoku,https://www.pref.iwate.jp/,,,,,,prefecture_site,総務省コード一覧より
S0004,040002,宮城県,宮城県,prefecture,unknown,tohoku,https://www.pref.miyagi.jp/,,,,,,prefecture_site,総務省コード一覧より
S0005,050008,秋田県,秋田県,prefecture,unknown,tohoku,https://www.pref.akita.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0006,060003,山形県,山形県,prefecture,unknown,tohoku,https://www.pref.yamagata.jp/,,,,,,prefecture_site,総務省コード一覧より
S0007,070009,福島県,福島県,prefecture,unknown,tohoku,https://www.pref.fukushima.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0008,080004,茨城県,茨城県,prefecture,unknown,kanto,https://www.pref.ibaraki.jp/,,,,,,prefecture_site,総務省コード一覧より
S0009,090000,栃木県,栃木県,prefecture,unknown,kanto,https://www.pref.tochigi.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0010,100005,群馬県,群馬県,prefecture,unknown,kanto,https://www.pref.gunma.jp/,,,,,,prefecture_site,総務省コード一覧より
S0011,110001,埼玉県,埼玉県,prefecture,unknown,kanto,https://www.pref.saitama.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0012,120006,千葉県,千葉県,prefecture,unknown,kanto,https://www.pref.chiba.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0013,130001,東京都,東京都,prefecture,unknown,kanto,https://www.metro.tokyo.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0014,140007,神奈川県,神奈川県,prefecture,unknown,kanto,https://www.pref.kanagawa.jp/,,,,,,prefecture_site,総務省コード一覧より
S0015,150002,新潟県,新潟県,prefecture,unknown,chubu,https://www.pref.niigata.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0016,160008,富山県,富山県,prefecture,unknown,chubu,https://www.pref.toyama.jp/,,,,,,prefecture_site,総務省コード一覧より
S0017,170003,石川県,石川県,prefecture,unknown,chubu,https://www.pref.ishikawa.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0018,180009,福井県,福井県,prefecture,unknown,chubu,https://www.pref.fukui.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0019,190004,山梨県,山梨県,prefecture,unknown,chubu,https://www.pref.yamanashi.jp/,,,,,,prefecture_site,総務省コード一覧より
S0020,200000,長野県,長野県,prefecture,unknown,chubu,https://www.pref.nagano.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0021,210005,岐阜県,岐阜県,prefecture,unknown,chubu,https://www.pref.gifu.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0022,220001,静岡県,静岡県,prefecture,unknown,chubu,https://www.pref.shizuoka.jp/,,,,,,prefecture_site,総務省コード一覧より
S0023,230006,愛知県,愛知県,prefecture,unknown,chubu,https://www.pref.aichi.jp/,,,,,,prefecture_site,総務省コード一覧より
S0024,240001,三重県,三重県,prefecture,unknown,kinki,https://www.pref.mie.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0025,250007,滋賀県,滋賀県,prefecture,unknown,kinki,https://www.pref.shiga.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0026,260002,京都府,京都府,prefecture,unknown,kinki,https://www.pref.kyoto.jp/,,,,,,prefecture_site,総務省コード一覧より
S0027,270008,大阪府,大阪府,prefecture,unknown,kinki,https://www.pref.osaka.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0028,280003,兵庫県,兵庫県,prefecture,unknown,kinki,https://www.pref.hyogo.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
