sample_id,municipality_code,prefecture,municipality_name,layer,population_category,region_block,official_site_url,top_page_url,contact_page_url,service_page_url,hub_page_url,article_page_url,selection_reason,notes
S0001,010006,北海道,北海道,prefecture,unknown,hokkaido,https://www.pref.hokkaido.lg.jp/,https://www.pref.hokkaido.lg.jp/,https://www.pref.hokkaido.lg.jp/site-info/contact.html,https://www.pref.hokkaido.lg.jp/sm/ktk/saigai-bousai.html,https://www.pref.hokkaido.lg.jp/category/d007/,https://www.pref.hokkaido.lg.jp/news/,prefecture_site,総務省コード一覧より | [top] 200 | [contact] お問合せ・相談窓口 | [hub] 防災・くらし・人権・環境 | [service] 防災情報 | [article] 新着情報一覧へ
S0004,040002,宮城県,宮城県,prefecture,unknown,tohoku,https://www.pref.miyagi.jp/,https://www.pref.miyagi.jp/,https://www.pref.miyagi.jp/site/gyoseisabisu/soudan-index.html,https://www.pref.miyagi.jp/life/sub/5/index.html,https://www.pref.miyagi.jp/site/kosodate/index.html,https://www.pref.miyagi.jp/release/release.xml,prefecture_site,総務省コード一覧より | [top] 200 | [contact] 相談窓口 | [hub] 宮城県 子育て支援情報サイト みやぎっこ広場 | [service] 申請・手続き | [article] プレスリリースRSS
S0013,130001,東京都,東京都,prefecture,unknown,kanto,https://www.metro.tokyo.lg.jp/,https://www.metro.tokyo.lg.jp/,https://www.metro.tokyo.lg.jp/inquiry,https://www.metro.tokyo.lg.jp/application,https://www.metro.tokyo.lg.jp/kurashi,https://www.metro.tokyo.lg.jp/information/press/2026/02/2026021210,prefecture_site,総務省コード一覧より | [top] 200 | [contact] お問い合わせ | [hub] 暮らし・健康・福祉 | [service] 届出・申請 | [article] 第253回都都市計画審議会 付議予定案件及び傍聴のお知らせ
S0027,270008,大阪府,大阪府,prefecture,unknown,kinki,https://www.pref.osaka.lg.jp/,https://www.pref.osaka.lg.jp/index.html,https://www.pref.osaka.lg.jp/hodo/fumin/o100030/prs_51154.html,https://www.pref.osaka.lg.jp/o070050/koho/bosai_kyukyu/index.html,https://www.pref.osaka.lg.jp/o090010/fukushisomu/jujisha3_1jishien5/jujishashien.html,https://www.pref.osaka.lg.jp/oshirase/index.html,prefecture_site,総務省コード一覧より | [top] 200 | [contact] 【麻しん（はしか）に関する注意情報】（Osaka Metro四つ橋線・御堂筋線、阪神電鉄、近鉄電車等の利用者で麻しんの報告がありました） | [hub] 大阪府社会福祉施設等従事者支援事業（第3弾）の申請について | [service] 防災・救急・感染症ポータルサイト | [article] その他お知らせ一覧
S0047,470007,沖縄県,沖縄県,prefecture,unknown,kyushu_okinawa,https://www.pref.okinawa.jp/,https://www.pref.okinawa.jp/,https://www.pref.okinawa.jp/kensei/kochokoho/1014932/1015136/index.html,https://www.pref.okinawa.jp/search_tetsuzuki.html,https://www.pref.okinawa.jp/iryokenko/iryo/1005227/1031473.html,https://www.pref.okinawa.jp/news/newslist.html,prefecture_site,総務省コード一覧より | [top] 200 | [contact] 県民ご意見箱 | [hub] 周産期医療関係 | [service] 手続き検索 | [article] 新着更新情報一覧
S0048,011002,北海道,札幌市,municipality,A,hokkaido,https://www.city.sapporo.jp/,https://www.city.sapporo.jp/,https://www.city.sapporo.jp/shobo/renraku/renrakusaki.html,https://www.city.sapporo.jp/kenko/kosodate/index.html,https://www.city.sapporo.jp/kurashi/machizukuri/index.html,https://www.city.sapporo.jp/museum/oshirase/2025tejisitsunikki.html,designated_city,政令指定都市 | [top] 200 | [contact] 緊急時の連絡先 | [hub] まちづくり・地域の活動 | [service] 子育て | [article] 広報さっぽろ（2026年2月号南区版）でサッポロクジラ・サッポロカイギュウが紹介されました！（札幌市博物館活動センター）（2月14日）
S0049,012041,北海道,旭川市,municipality,B,hokkaido,https://www.city.asahikawa.hokkaido.jp/,https://www.city.asahikawa.hokkaido.jp/,https://www.city.asahikawa.hokkaido.jp/navi/kodomosoudan/index.html,https://www.city.asahikawa.hokkaido.jp/kurashi/271/272/osirasegomi/d079727.html,https://www.city.asahikawa.hokkaido.jp/kurashi/408/index.html,https://www.city.asahikawa.hokkaido.jp/kurashi/news.html,core_city,中核市 | [top] 200 | [contact] 子どものための電話窓口一覧 家族や友達のこと、いじめや不登校などの悩みや不安があれば、ひとりで悩まずこちらから相談してください。子ども専用の電話もあります。無料で電話ができます。 | [hub] 市民活動・参加・地域まちづくり | [service] 粗大ごみ、剪定枝・落ち葉の収集受付がオンラインで申し込めます！ | [article] 新着情報
S0051,012076,北海道,帯広市,municipality,C,hokkaido,https://www.city.obihiro.hokkaido.jp/,https://www.city.obihiro.hokkaido.jp/,https://www.city.obihiro.hokkaido.jp/shisei/gaiyo/soshiki/1006025/index.html,https://www.city.obihiro.hokkaido.jp/kurashi/gomi/index.html,https://www.city.obihiro.hokkaido.jp/kurashi/kinkyu/1002166.html,,population_top,人口約16万 | [top] 200 | [contact] 各課の連絡先お問い合わせ | [hub] くらしの相談 | [service] ごみ・リサイクル | NOT_FOUND: article
S0084,072036,福島県,郡山市,municipality,B,tohoku,https://www.city.koriyama.lg.jp/,https://www.city.koriyama.lg.jp/,https://www.city.koriyama.lg.jp/life/4/24/,https://www.city.koriyama.lg.jp/site/kosodate/,https://www.city.koriyama.lg.jp/life/1/3/,https://www.city.koriyama.lg.jp/rss/10/list1.xml,core_city,中核市 | [top] 200 | [contact] 相談窓口 | [hub] 国民健康保険・後期高齢者医療 | [service] 郡山市子育てサイト | [article] 新着情報のRSS
S0086,072028,福島県,会津若松市,municipality,C,tohoku,https://www.city.aizuwakamatsu.fukushima.jp/,https://www.city.aizuwakamatsu.fukushima.jp/,https://www.city.aizuwakamatsu.fukushima.jp/docs/2018020500019/,https://www.city.aizuwakamatsu.fukushima.jp/category/bunya/sougoukeikaku/01kosodate/,https://www.city.aizuwakamatsu.fukushima.jp/category/bunya/sougoukeikaku/23kankyo/,https://www.city.aizuwakamatsu.fukushima.jp/new-info-list-shimin/,regional_balance,人口約11万 | [top] 200 | [contact] 【終了しました】パブリックコメント「会津若松市地域防災計画 改訂案」へのご意見をお寄せください | [hub] 23 自然環境・生活環境 | [service] 1 子ども・子育て | [article] >>新着記事一覧
S0095,141003,神奈川県,横浜市,municipality,A,kanto,https://www.city.yokohama.lg.jp/,https://www.city.yokohama.lg.jp/,https://www.city.yokohama.lg.jp/shichosha/iten.html,https://www.city.yokohama.lg.jp/kosodate-kyoiku/index.html,https://www.city.yokohama.lg.jp/kenko-iryo-fukushi/index.html,https://www.city.yokohama.lg.jp/city-info/koho-kocho/press/index.html,designated_city,政令指定都市 | [top] 200 | [contact] 市役所アクセス・駐車場 | [hub] 健康・医療・福祉トップ | [service] 子育て・教育トップ | [article] 記者発表
S0104,112038,埼玉県,川口市,municipality,B,kanto,https://www.city.kawaguchi.lg.jp/,https://www.city.kawaguchi.lg.jp/,https://www.city.kawaguchi.lg.jp/homepage/madoguchi/dai1honchosha.html,https://www.city.kawaguchi.lg.jp/kurashi_tetsuzuki/gomi_risaikuru/2/index.html,https://www.city.kawaguchi.lg.jp/event/38472.html,https://www.city.kawaguchi.lg.jp/soshiki/01010/020/oshirase/24835.html,core_city,中核市 | [top] 200 | [contact] 第一本庁舎・第二本庁舎の窓口の呼出・混雑状況 | [hub] マイナンバーカード「健康保険証利用登録・公金受取口座登録」の手続きができます | [service] ごみの分け方・出し方 | [article] SNS公式アカウント
S0111,131041,東京都,新宿区,municipality,C,kanto,https://www.city.shinjuku.lg.jp/,https://www.city.shinjuku.lg.jp/,https://www.city.shinjuku.lg.jp/kanko/shisetu_1.html,https://www.city.shinjuku.lg.jp/anzen/index.html,https://www.city.shinjuku.lg.jp/kenkou/index.html,https://www.city.shinjuku.lg.jp/whatsnew/pub/2026/0125-01.html,special_ward,"特別区 | [top] 200 | [contact] 交通アクセス | [hub] 健康・医療・衛生 | [service] 防災・防犯 | [article] 令和8年1月25日約13,000人のランナーが新宿のまちを駆け巡る 新宿シティハーフマラソンを開催"
S0117,131121,東京都,世田谷区,municipality,C,kanto,https://www.city.setagaya.lg.jp/,https://www.city.setagaya.lg.jp/,https://www.city.setagaya.lg.jp/02002/25858.html,https://www.city.setagaya.lg.jp/onlinetetsuzuki/index.html,https://www.city.setagaya.lg.jp/fukushikenkou/11526.html,https://www.city.setagaya.lg.jp/shinchaku/index.html,special_ward,特別区 | [top] 200 | [contact] 区へのご意見・問い合わせ | [hub] 福祉・健康 | [service] オンライン手続き | [article] 新着一覧を見る
S0118,131130,東京都,渋谷区,municipality,C,kanto,https://www.city.shibuya.tokyo.jp/,https://www.city.shibuya.tokyo.jp/,https://www.city.shibuya.tokyo.jp/kusei/kocho/opinionindex/inquiry.html,https://www.city.shibuya.tokyo.jp/contents/koho-news/1602/20260215_bousai.html,https://www.city.shibuya.tokyo.jp/contents/koho-news/1602/20260215_kenko.html,https://www.city.shibuya.tokyo.jp/contents/koho-news/1602/20260215_fukushi.html,special_ward,"特別区 | [top] 200 | [contact] 各種お問い合わせ | [hub] 【健康・スポーツ】思わず身体を動かしたくなる街へ。予防接種のお知らせ RSウイルス母子免疫ワクチンの定期接種/バスケットボール アルバルク東京 区民優待販売・子ども無料招待 など | [service] 【防災・安全・環境・エネルギー】人のつながりと意識が未来を守る街へ。3月1日～7日は建築物防災週間です/リサイクルバザール | [article] 【福祉】あらゆる人が、自分らしく生きられる街へ。7年度物価高騰生活支援給付金のお知らせ 区民1人当たり5,000円の給付金を支給します/渋谷フレイル予防キャラバンを開催します など"
S0139,134210,東京都,小笠原村,municipality,D,kanto,https://www.vill.ogasawara.tokyo.jp/,https://www.vill.ogasawara.tokyo.jp/,https://www.vill.ogasawara.tokyo.jp/toiawase/,https://www.vill.ogasawara.tokyo.jp/soumu/bousai/,https://www.vill.ogasawara.tokyo.jp/sonmin/kosodate/,https://www.vill.ogasawara.tokyo.jp/category/panel-top_topics/,island_municipality,離島 | [top] 200 | [contact] _お問い合わせ | [hub] 子育て支援 | [service] 防災 | [article] お知らせの一覧
S0153,172014,石川県,金沢市,municipality,B,chubu,https://www4.city.kanazawa.lg.jp/,https://www4.city.kanazawa.lg.jp/,https://www4.city.kanazawa.lg.jp/23047.html,https://www4.city.kanazawa.lg.jp/shinseishodownload/index.html,https://www4.city.kanazawa.lg.jp/soshikikarasagasu/iryohokenka/yokuarushitsumon/kokuminkenkohoken/kanyudattai/2808.html,https://www4.city.kanazawa.lg.jp/news/30509.html,core_city,中核市・県庁所在地 | [top] 200 | [contact] 市役所へのアクセス | [hub] 会社を退職した時に、国民健康保険に加入するためにどのような手続が必要ですか。 | [service] 申請書ダウンロード | [article] 令和7年分の保険料納付済額のお知らせについて（国民健康保険料、後期高齢者医療保険料）
S0162,152021,新潟県,長岡市,municipality,C,chubu,https://www.city.nagaoka.niigata.jp/,https://www.city.nagaoka.niigata.jp/,https://www.city.nagaoka.niigata.jp/shisei/cate05/ao-re/access.html,https://www.city.nagaoka.niigata.jp/kosodate/index.html,https://www.city.nagaoka.niigata.jp/kosodate/cheering-gift.html,https://www.city.nagaoka.niigata.jp/sangyou/cate01/index.html,population_top,人口約26万 | [top] 200 | [contact] アクセス | [hub] 長岡市出産・子育て応援事業 | [service] 子育て・教育 | [article] お知らせ・リンク
S0178,152242,新潟県,佐渡市,municipality,D,chubu,https://www.city.sado.niigata.jp/,https://www.city.sado.niigata.jp/,https://www.city.sado.niigata.jp/soshiki/2005/17495.html,,,,island_municipality,離島 | [top] 200 | [contact] Foreign language | NOT_FOUND: hub | NOT_FOUND: service | NOT_FOUND: article
S0201,282014,兵庫県,姫路市,municipality,B,kinki,https://www.city.himeji.lg.jp/,https://www.city.himeji.lg.jp/,https://www.city.himeji.lg.jp/anzen/0000007110.html,https://www.city.himeji.lg.jp/kurashi/category/2-10-0-0-0-0-0-0-0-0.html,https://www.city.himeji.lg.jp/kurashi/index.html,https://www.city.himeji.lg.jp/news/0001.html,core_city,中核市 | [top] 200 | [contact] 休日・夜間の窓口 | [hub] くらし・手続きトップ | [service] ごみ・リサイクル・美化 | [article] 新着情報一覧
S0204,242021,三重県,四日市市,municipality,C,kinki,https://www.city.yokkaichi.lg.jp/,https://www.city.yokkaichi.lg.jp/www/index.html,https://www.city.yokkaichi.lg.jp/www/contents/1756943889656/index.html,https://www.city.yokkaichi.lg.jp/www/contents/1764138232837/index.html,https://www.city.yokkaichi.lg.jp/www/contents/1753929669839/index.html,https://www.city.yokkaichi.lg.jp/www/rss/news.rdf,population_top,人口約31万 | [top] 200 | [contact] スマホサポート人材育成のためのスマホ教室、スマホ相談窓口の開催について | [hub] 令和８年４月採用予定 四日市市職員採用試験（土木、建築、電気、保健師、保育教育職、言語聴覚士、社会福祉士） 最終合格者について（８月１日発表分） | [service] 「被災届出証明書」 の申請について ～記録的大雨で駐車手段を失った被災者のみなさまへ～ | [article] 新着情報RSS
S0234,352039,山口県,山口市,municipality,C,chugoku,https://www.city.yamaguchi.lg.jp/,https://www.city.yamaguchi.lg.jp/,https://www.city.yamaguchi.lg.jp/ques/questionnaire.php?openid=3,https://www.city.yamaguchi.lg.jp/site/shinsei/search/search.php,https://www.city.yamaguchi.lg.jp/life/1/,https://www.city.yamaguchi.lg.jp/soshiki/16/188549.html,prefecture_capital,県庁所在地 | [top] 200 | [contact] 市へのご意見お問い合わせ | [hub] くらしの情報 | [service] 申請・手続きナビ | [article] 【2月24日（火曜日）】ウェブサイトのシステムメンテナンスのお知らせ
S0238,342122,広島県,東広島市,municipality,C,chugoku,https://www.city.higashihiroshima.lg.jp/,https://www.city.higashihiroshima.lg.jp/,https://www.city.higashihiroshima.lg.jp/toiawase.html,https://www.city.higashihiroshima.lg.jp/soshiki/seikatsukankyo/8/gomidashi/kateigomi/index.html,https://www.city.higashihiroshima.lg.jp/kurashi/index.html,https://www.city.higashihiroshima.lg.jp/newsList.html,population_top,人口約19万 | [top] 200 | [contact] ご意見・お問い合わせ | [hub] くらしの情報 | [service] 家庭ごみの出し方検索 | [article] 新着情報一覧
S0250,382019,愛媛県,松山市,municipality,B,shikoku,https://www.city.matsuyama.ehime.jp/,https://www.city.matsuyama.ehime.jp/,https://www.city.matsuyama.ehime.jp/shisetsu/shinos/annai.html,https://www.city.matsuyama.ehime.jp/kurashi/bosai/bousai/index.html,https://www.city.matsuyama.ehime.jp/kurashi/index.html,https://www.city.matsuyama.ehime.jp/rss_news.xml,core_city,中核市・県庁所在地 | [top] 200 | [contact] アクセス | [hub] くらしの情報 | [service] 災害・防災 | [article] 新着情報のRSS
S0252,382027,愛媛県,今治市,municipality,C,shikoku,https://www.city.imabari.ehime.jp/,https://www.city.imabari.ehime.jp/,https://www.city.imabari.ehime.jp/mayor/,,https://www.city.imabari.ehime.jp/event/,,regional_balance,人口約15万 | [top] 200 | [contact] 市長の部屋 | [hub] イベント | NOT_FOUND: service | NOT_FOUND: article
S0265,401307,福岡県,福岡市,municipality,A,kyushu_okinawa,https://www.city.fukuoka.lg.jp/,https://www.city.fukuoka.lg.jp/,https://www.city.fukuoka.lg.jp/soki/data/mynumber/mnc_general_counter.html,https://www.city.fukuoka.lg.jp/kankyo/jigyokeigomi/life/katei-bunbetsu/kogatajuudennshikidennchi_syobun.html,https://www.city.fukuoka.lg.jp/minamiku/kenko/life/minamikukenkourensaiyousikenitijigoukakuhappyou.html,https://www.city.fukuoka.lg.jp/kyoiku-iinkai/kikaku/ed/166.html,designated_city,政令指定都市 | [top] 200 | [contact] 令和7年度もマイナンバーカード総合窓口を設置しています | [hub] 令和8年度採用 福岡市南区健康推進連合会職員採用試験（１次） 合格発表 2026年2月13日 | [service] 小型充電式電池はごみ袋で出さないでください | [article] 教育委員会会議のお知らせ 2026年2月10日
S0272,462012,鹿児島県,鹿児島市,municipality,B,kyushu_okinawa,https://www.city.kagoshima.lg.jp/,https://www.city.kagoshima.lg.jp/,https://www.city.kagoshima.lg.jp/soumu/zeimu/shiminzei/shiminzeisoudanmadogutijizenyoyaku.html,https://www.city.kagoshima.lg.jp/shigenseisaku/gomi/r6shoukyakubai.html,https://www.city.kagoshima.lg.jp/kodomofuku/jidouteate-kosodateouenteate/kosodateouenteate4.html,https://www.city.kagoshima.lg.jp/jigyo/jigyo_shinchaku.xml,core_city,中核市・県庁所在地 | [top] 200 | [contact] 市民税・県民税の申告相談窓口のご案内及び申告受付の事前予約 | [hub] 物価高対応子育て応援手当（児童1人あたり2万円） | [service] 南部清掃工場ごみ焼却灰運搬業務委託契約に係る制限付き一般競争入札（公告） | [article] 新着情報/入札情報RSS
S0274,412015,佐賀県,佐賀市,municipality,C,kyushu_okinawa,https://www.city.saga.lg.jp/,https://www.city.saga.lg.jp/,https://www.city.saga.lg.jp/main/55234.html,https://www.city.saga.lg.jp/main/107727.html,https://www.city.saga.lg.jp/main/98947.html,https://www.city.saga.lg.jp/main/100390.html,prefecture_capital,県庁所在地 | [top] 200 | [contact] 福祉まるごと相談窓口 ～福祉に関するお困りごと まるごとお受けします～ | [hub] 本庄子ども園 子育て支援センター「つくしんぼう」 | [service] 令和７年度佐賀市乳児等通園支援事業（こども誰でも通園制度）の利用申請を開始します。 | [article] 令和8年2月定例記者会見（開催のお知らせ）
S0286,472115,沖縄県,沖縄市,municipality,C,kyushu_okinawa,https://www.city.okinawa.okinawa.jp/,https://www.city.okinawa.okinawa.jp/,https://www.city.okinawa.okinawa.jp/k003/otoiawase.html,https://www.city.okinawa.okinawa.jp/k064-001/kosodate/shakaikyouiku/library/lib/index.html,https://www.city.okinawa.okinawa.jp/k028/kosodate/kosodateshien/tokubetsukyuufu/4010740108.html,https://www.city.okinawa.okinawa.jp/shinchaku.xml,regional_balance,人口約14万 | [top] 200 | [contact] お問い合わせ | [hub] 2026年2月10日 令和7年度沖縄市物価高対応子育て応援手当について(申請が必要な方向け) | [service] 資料検索や、予約・延長申請もwebでいつでも申請可能！ 沖縄市立図書館 | [article] 新着情報RSS
S0298,462225,鹿児島県,奄美市,municipality,D,kyushu_okinawa,https://www.city.amami.lg.jp/,https://www.city.amami.lg.jp/,https://www.city.amami.lg.jp/kikaku/shise/koho/soudan.html,https://www.city.amami.lg.jp/fukushi/documents/kosodatejyouhou.html,https://www.city.amami.lg.jp/wpm/kodomokosodate.html,https://www.city.amami.lg.jp/shinchaku/index.html,island_municipality,離島・奄美大島 | [top] 200 | [contact] 各種相談窓口 | [hub] 子育てサービス補助金 | [service] まーじん子育て応援団 | [article] 新着情報一覧
S0050,012025,北海道,函館市,municipality,B,hokkaido,https://www.city.hakodate.hokkaido.jp/,https://www.city.hakodate.hokkaido.jp/,https://www.city.hakodate.hokkaido.jp/docs/2014031700318/,https://www.city.hakodate.hokkaido.jp/docs/2014011700482/,https://www.city.hakodate.hokkaido.jp/category/bunya/kurashi/,https://www.city.hakodate.hokkaido.jp/docs/2014030600213/,core_city,中核市; top=WebFetch; contact=WebSearch; service=WebSearch(児童手当); hub=WebSearch(くらし); article=WebSearch
S0052,012068,北海道,釧路市,municipality,C,hokkaido,https://www.city.kushiro.lg.jp/,https://www.city.kushiro.lg.jp/,https://www.city.kushiro.lg.jp/shisei/gaiyou/1006821/1010624/index.html,https://www.city.kushiro.lg.jp/kosodatekyouiku/kosodate/1005438/1005443.html,https://www.city.kushiro.lg.jp/kurashi/index.html,https://www.city.kushiro.lg.jp/museum/tenji/kikaku/2025/plants.html,population_top,人口約16万; top=WebFetch; contact=WebSearch; service=WebSearch(児童手当); hub=top nav; article=top news
S0053,012084,北海道,北見市,municipality,C,hokkaido,https://www.city.kitami.lg.jp/,https://www.city.kitami.lg.jp/,https://www.city.kitami.lg.jp/administration/town/detail.php?content=12630,https://www.city.kitami.lg.jp/administration/detail.php?content=7313,https://www.city.kitami.lg.jp/administration/life/,https://www.city.kitami.lg.jp/administration/news/detail.php?news=2768,population_top,"人口約11万; top=WebFetch(JS-heavy,sparse); contact=WebSearch; service=WebSearch(児童手当); hub=WebSearch(くらし); article=WebSearch(お知らせ)"
S0054,012131,北海道,苫小牧市,municipality,C,hokkaido,https://www.city.tomakomai.hokkaido.jp/,https://www.city.tomakomai.hokkaido.jp/,https://www.city.tomakomai.hokkaido.jp/contact.html,https://www.city.tomakomai.hokkaido.jp/kenko/kosodate/jidoteate/seido-tetsuzuki.html,https://www.city.tomakomai.hokkaido.jp/kurashi/,https://www.city.tomakomai.hokkaido.jp/calendar/64271.html,population_top,人口約17万; top=WebFetch; contact=top link; service=WebSearch(児童手当); hub=top nav; article=WebSearch
S0055,012173,北海道,江別市,municipality,C,hokkaido,https://www.city.ebetsu.hokkaido.jp/,https://www.city.ebetsu.hokkaido.jp/,https://www.city.ebetsu.hokkaido.jp/soshiki/koucho/13388.html,https://www.city.ebetsu.hokkaido.jp/site/kosodate/266.html,https://www.city.ebetsu.hokkaido.jp/life/1/,https://www.city.ebetsu.hokkaido.jp/soshiki/sports/148109.html,regional_balance,人口約12万; top=WebFetch; contact=footer link; service=WebSearch(児童手当); hub=top nav; article=top news
