sample_id,municipality_code,prefecture,municipality_name,layer,population_category,region_block,official_site_url,top_page_url,contact_page_url,service_page_url,hub_page_url,article_page_url,selection_reason,notes
S0001,010006,北海道,北海道,prefecture,unknown,hokkaido,https://www.pref.hokkaido.lg.jp/,https://www.pref.hokkaido.lg.jp/,https://www.pref.hokkaido.lg.jp/site-info/contact.html,https://www.pref.hokkaido.lg.jp/sm/ktk/saigai-bousai.html,https://www.pref.hokkaido.lg.jp/category/d007/,https://www.pref.hokkaido.lg.jp/ss/tkk/hodo/pressrelease/r7/247096.html,prefecture_site,"総務省コード一覧より | [top] 200 OK; [contact] footer お問合せ・相談窓口; [service] gnav 防災情報; [hub] category 防災・くらし; [article] WebSearch 報道発表r8-01"
S0004,040002,宮城県,宮城県,prefecture,unknown,tohoku,https://www.pref.miyagi.jp/,https://www.pref.miyagi.jp/,https://www.pref.miyagi.jp/site/gyoseisabisu/soudan-index.html,https://www.pref.miyagi.jp/life/sub/5/index.html,https://www.pref.miyagi.jp/site/kosodate/index.html,https://www.pref.miyagi.jp/soshiki/densho/tinkon-press2026.html,prefecture_site,"総務省コード一覧より | [top] 200 OK; [contact] 相談窓口; [service] 申請・手続き; [hub] 子育て支援サイト; [article] WebSearch みやぎ鎮魂の日2026"
S0013,130001,東京都,東京都,prefecture,unknown,kanto,https://www.metro.tokyo.lg.jp/,https://www.metro.tokyo.lg.jp/,https://www.metro.tokyo.lg.jp/tosei/iken-sodan/otoiawase/otoiawase/index.html,https://fukushi.metro.tokyo.lg.jp/kodomo/kosodate/teate/zidouteate/,https://www.metro.tokyo.lg.jp/kurashi/,https://www.metro.tokyo.lg.jp/information/press/2026/02/2026021210,prefecture_site,"総務省コード一覧より | [top] 200 OK; [contact] 都政>お問い合わせ; [service] subdomain 児童手当詳細; [hub] gnav くらし; [article] press 2026-02-12"
S0027,270008,大阪府,大阪府,prefecture,unknown,kinki,https://www.pref.osaka.lg.jp/,https://www.pref.osaka.lg.jp/index.html,https://www.pref.osaka.lg.jp/o070050/fumin/occ/index.html,https://www.pref.osaka.lg.jp/kenkoufukushi/kosodate/teate/index.html,https://www.pref.osaka.lg.jp/kenkoufukushi/kosodate/index.html,https://www.pref.osaka.lg.jp/hodo/fumin/o070110/prs_51141.html,prefecture_site,"総務省コード一覧より | [top] 200 OK redirect; [contact] WebSearch 府民お問い合わせ; [service] 子育て>手当; [hub] gnav 子育て; [article] WebSearch 報道発表"
S0047,470007,沖縄県,沖縄県,prefecture,unknown,kyushu_okinawa,https://www.pref.okinawa.jp/,https://www.pref.okinawa.lg.jp/,https://www.pref.okinawa.lg.jp/kensei/kochokoho/1014932/1015136/index.html,https://www.pref.okinawa.lg.jp/kurashikankyo/passport/1005195.html,https://www.pref.okinawa.lg.jp/kurashikankyo/index.html,https://www.pref.okinawa.lg.jp/kensei/gikai/1016839/1037683/1037684.html,prefecture_site,"総務省コード一覧より | [top] 200 OK redirect .jp→.lg.jp; [contact] 県民ご意見箱; [service] パスポート手続き; [hub] くらし・環境; [article] 議会記事"
S0048,011002,北海道,札幌市,municipality,A,hokkaido,https://www.city.sapporo.jp/,https://www.city.sapporo.jp/,https://www.city.sapporo.jp/somu/shiminnokoe/iken/koukai_form.html,https://www.city.sapporo.jp/chuo/info/0202/jidouteate.html,https://www.city.sapporo.jp/kenko/kosodate/index.html,https://www.city.sapporo.jp/museum/oshirase/2025tejisitsunikki.html,designated_city,"政令指定都市 | [top] 200 OK; [contact] WebSearch 市民の声; [service] WebSearch 児童手当(中央区); [hub] gnav 子育て; [article] 博物館お知らせ記事"
S0049,012041,北海道,旭川市,municipality,B,hokkaido,https://www.city.asahikawa.hokkaido.jp/,https://www.city.asahikawa.hokkaido.jp/,https://www.city.asahikawa.hokkaido.jp/1000/index.html,https://www.city.asahikawa.hokkaido.jp/kurashi/218/228/229/p004671.html,https://www.city.asahikawa.hokkaido.jp/kurashi/408/index.html,https://www.city.asahikawa.hokkaido.jp/700/723/735/d083393.html,core_city,"中核市 | [top] 200 OK; [contact] WebSearch 相談・お問い合わせ; [service] WebSearch 児童手当; [hub] 市民活動; [article] WebSearch 令和8年度予算案記者会見2026-02-05"
S0051,012076,北海道,帯広市,municipality,C,hokkaido,https://www.city.obihiro.hokkaido.jp/,https://www.city.obihiro.hokkaido.jp/,https://www.city.obihiro.hokkaido.jp/shisei/gaiyo/soshiki/1006025/index.html,https://www.city.obihiro.hokkaido.jp/kyoiku/kosodate/teate/1017578.html,https://www.city.obihiro.hokkaido.jp/kurashi/gomi/index.html,https://www.city.obihiro.hokkaido.jp/shisei/mayor/kaiken/1017170/1019208.html,population_top,"人口約16万 | [top] 200 OK; [contact] 各課の連絡先; [service] WebSearch 児童手当制度改正; [hub] くらし>ごみ・リサイクル; [article] WebSearch 市長記者会見2026-02-17"
S0084,072036,福島県,郡山市,municipality,B,tohoku,https://www.city.koriyama.lg.jp/,https://www.city.koriyama.lg.jp/,https://www.city.koriyama.lg.jp/life/4/24/,https://www.city.koriyama.lg.jp/site/kosodate/1373.html,https://www.city.koriyama.lg.jp/site/kosodate/,https://www.city.koriyama.lg.jp/soshiki/23/171592.html,core_city,"中核市 | [top] 200 OK; [contact] 相談窓口一覧; [service] WebSearch 児童手当; [hub] 子育てサイト; [article] WebSearch 報道資料2026-02"
S0086,072028,福島県,会津若松市,municipality,C,tohoku,https://www.city.aizuwakamatsu.fukushima.jp/,https://www.city.aizuwakamatsu.fukushima.jp/,https://www.city.aizuwakamatsu.fukushima.jp/docs/2007080601965/,https://www.city.aizuwakamatsu.fukushima.jp/docs/2016111100025/,https://www.city.aizuwakamatsu.fukushima.jp/category/bunya/sougoukeikaku/01kosodate/,https://www.city.aizuwakamatsu.fukushima.jp/docs/2026020300010/,regional_balance,"人口約11万 | [top] 200 OK; [contact] WebSearch 市民の相談窓口一覧; [service] WebSearch 児童手当; [hub] category 子育て; [article] WebSearch 地域づくり委員会2026-02-03"
S0095,141003,神奈川県,横浜市,municipality,A,kanto,https://www.city.yokohama.lg.jp/,https://www.city.yokohama.lg.jp/,https://www.city.yokohama.lg.jp/callcenter/call.html,https://www.city.yokohama.lg.jp/kosodate-kyoiku/oyakokenko/teate/teate/jite-gaiyou.html,https://www.city.yokohama.lg.jp/kosodate-kyoiku/index.html,https://www.city.yokohama.lg.jp/city-info/koho-kocho/press/seya/2025/0204seyairodori.html,designated_city,"政令指定都市 | [top] 200 OK; [contact] WebSearch コールセンター; [service] WebSearch 児童手当概要; [hub] gnav 子育て・教育; [article] WebSearch 記者発表イベント"
S0104,112038,埼玉県,川口市,municipality,B,kanto,https://www.city.kawaguchi.lg.jp/,https://www.city.kawaguchi.lg.jp/,https://www.city.kawaguchi.lg.jp/homepage/4550.html,https://www.city.kawaguchi.lg.jp/soshiki/01080/020/5/2/44350.html,https://www.city.kawaguchi.lg.jp/kurashi_tetsuzuki/gomi_risaikuru/2/index.html,https://www.city.kawaguchi.lg.jp/soshiki/06020/010/17/49662.html,core_city,"中核市 | [top] 200 OK; [contact] WebSearch お問い合わせ先; [service] WebSearch 児童手当; [hub] くらし>ごみ・リサイクル; [article] WebSearch 川口市長選挙投票日2026-02-01"
S0111,131041,東京都,新宿区,municipality,C,kanto,https://www.city.shinjuku.lg.jp/,https://www.city.shinjuku.lg.jp/,https://www.city.shinjuku.lg.jp/kusei/file04_00002.html,https://www.city.shinjuku.lg.jp/kodomo/file03_04_00004.html,https://www.city.shinjuku.lg.jp/kenkou/index.html,https://www.city.shinjuku.lg.jp/whatsnew/pub/2026/0125-01.html,special_ward,"特別区 | [top] 200 OK; [contact] WebSearch しんじゅくコール; [service] WebSearch 児童手当; [hub] gnav 健康・医療・衛生; [article] 新着情報 2026-01-25記事"
S0117,131121,東京都,世田谷区,municipality,C,kanto,https://www.city.setagaya.lg.jp/,https://www.city.setagaya.lg.jp/,https://www.city.setagaya.lg.jp/02002/25858.html,https://www.city.setagaya.lg.jp/mokuji/kodomo/008/002/d00039056.html,https://www.city.setagaya.lg.jp/kodomokyouiku/kosodate/13020.html,https://www.city.setagaya.lg.jp/02006/31154.html,special_ward,"特別区 | [top] 200 OK; [contact] 区へのご意見・問い合わせ; [service] WebSearch 児童手当; [hub] WebSearch 子育て・教育手当; [article] WebSearch 企画総務委員会2026-02-03"
S0118,131130,東京都,渋谷区,municipality,C,kanto,https://www.city.shibuya.tokyo.jp/,https://www.city.shibuya.tokyo.jp/,https://www.city.shibuya.tokyo.jp/kusei/kocho/opinionindex/inquiry.html,https://www.city.shibuya.tokyo.jp/kodomo/kodomo-teate-josei/kodomo-teate/jido_t.html,https://www.city.shibuya.tokyo.jp/kodomo/kodomo-teate-josei/kodomo-teate/,https://www.city.shibuya.tokyo.jp/contents/koho-news/1602/20260215_bousai.html,special_ward,"特別区 | [top] 200 OK; [contact] 各種お問い合わせ; [service] WebSearch 児童手当; [hub] 子どもの手当; [article] 広報しぶや防災記事2026-02-15"
S0139,134210,東京都,小笠原村,municipality,D,kanto,https://www.vill.ogasawara.tokyo.jp/,https://www.vill.ogasawara.tokyo.jp/,https://www.vill.ogasawara.tokyo.jp/toiawase/,,https://www.vill.ogasawara.tokyo.jp/sonmin/kosodate/,,island_municipality,"離島 | [top] 200 OK; [contact] お問い合わせ; NOT_FOUND: service 個別手続きページ未発見; [hub] 子育て支援; NOT_FOUND: article 個別記事未発見"
